V1,V2,V3,V4,V5,V6,quantiles
7620.7963871599995,7821.2436797010005,8194.546898829,8401.459671765,8866.712234696,8980.296995252,0.025
7852.8575801,8074.4141912899995,8425.57314344,8610.085800519999,9053.64492472,9155.17978386,0.25
7951.659826200001,8153.1852894,8523.881801739999,8707.31403038,9135.13807176,9230.15774129,0.5
8038.714599139999,8235.92040309,8618.81601691,8800.17401408,9208.58834335,9297.800380429999,0.75
8196.396050565,8375.489786197,8790.268660540003,8967.683924005001,9333.869591346,9413.2673890745,0.975
